6:00 PM,Linea 85,Linea 83,Linea 33,Linea 88,Linea 95,Linea 51,Linea 78,Linea 53 ,Linea 70,Linea 31
6:05 PM,,,,,,,,,,
6:10 PM,,,,,,,,,,
6:15 PM,,,,,,,,,,
6:20 PM,,,,,,,,,,
6:25 PM,,,,,,,,,,
6:30 PM,Linea 78,,,,,,,,,
6:35 PM,Linea 14,,,,,,,,,
6:40 PM,,,,,,,,,,
6:45 PM,,,,,,,,,,
6:50 PM,,,,,,,,,,
6:55 PM,,,,,,,,,,
7:00 PM,Linea 69,Linea 84,Linea 66,Linea 89,Linea 93,,,,,
7:05 PM,,,,,,,,,,
7:10 PM,,,,,,,,,,
7:15 PM,,,,,,,,,,
7:20 PM,,,,,,,,,,
7:25 PM,,,,,,,,,,
7:30 PM,,,,,,,,,,
7:35 PM,,,,,,,,,,
7:40 PM,,,,,,,,,,
7:45 PM,,,,,,,,,,
7:50 PM,,,,,,,,,,
7:55 PM,,,,,,,,,,
8:00 PM,Linea 79,Linea 78,Linea 89,Linea 93,,,,,,
8:05 PM,,,,,,,,,,
8:10 PM,Linea 69,Linea 66,,,,,,,,
8:15 PM,,,,,,,,,,
8:20 PM,,,,,,,,,,
8:25 PM,,,,,,,,,,
8:30 PM,,,,,,,,,,
8:35 PM,,,,,,,,,,
8:40 PM,,,,,,,,,,
8:45 PM,,,,,,,,,,
8:50 PM,,,,,,,,,,
8:55 PM,,,,,,,,,,
9:00 PM,Linea 54,Linea 55,Linea 85,Linea 81,Linea 83,Linea 95,Linea 78,Linea 70,Linea 66,Linea 93
9:05 PM,,,,,,,,,,
9:10 PM,,,,,,,,,,
9:15 PM,,,,,,,,,,
9:20 PM,,,,,,,,,,
