Linea 01 parque Infantil- Estadio- La Salle-Colegio Beatriz Cueva- La Urna- Campus UTPL
Linea 02 Pradera- Av. Kigman- Parque Infantil- La Urna-  Campus UTPL
Linea 03 Pradera- Av. Kigman- Parque Infantil- Estadio- La Colegio Beatriz Cueva- La Urna- Campus UTPL
Linea 07 Ciudad Alegrfa- Esteban Godoy- Canchas Calva & Calva- Av. Pio Jaramillo- Tebaida Baja- Puerta de la Ciudad- La Urna- Campus UTPL
Linea 08 Ciudad Aleqrfa- Esteban Godoy- Puerta de la Ciudad- La Urna- Campus UTPL
Linea 09 Canchas Calva & Calva- AV. Pío Jaramillo- Tebaida Baja- Coliseo Ciudad de Loja- Lauro Guerrero- Puerta de la Ciudad- La Urna-  Campus UTPL
Linea 10 Ciudad Alegria- Esteban Godoy- Cachas Calva & Calva- Av. Pio Jaramillo- Tebaida Baja- Coliseo Ciudad de Loja- Pfo y Venezuela- Lauro Guerrero- Puerta de la Ciudad- La Urna-  Campus UTPL
Linea 11 Daniel Álvarez - Benjamín Carrión- Tebaida Baja- Coliseo Ciudad de Loja- Pío Venezuela- Lauro Guerrero- Puerta de Ciudad- La Urna- Campus
Linea 12 Tebaida Baja- Coliseo Ciudad de Loja- Pio y Venezuela- Lauro Guerrero- Puerta de la Ciudad- La Urna- Campus UTPL
Linea 13 Coliseo Ciudad de Loja- Pío y Venezuela- Lauro Guerrero- Puerta de la Ciudad- La Urna- Campus UTPL
Linea 14 Lauro Guerrero- Puerta de la Ciudad- La Urna- Campus UTPL
Línea 15 Operadores- Época- Av. de Los Paltas- Bomba La Llave- Occidental - EI Bosque- Zona Militar- La Urna- Campus UTPL
Linea 16 Operadores- Época- Av. de Los Paltas- Zona Militar- ta Urna- Campus UTPL
Linea 17 Bomba La Llave- Occidental - EI Bosque- Zona Militar- La Urna- Campus UTPL
Linea 18 Sauces Norte- Av. 8 de Diciembre- Clínica Nataly- Las Pitas- Terminal Terrestre- Zona Militar- La Urna- Campus UTPL
Linea 19 Hipervalle- Calasanz- Solca- La Paz- Las Pitas- Terminal Terrestre- Zona Militar- La Urna- Campus UTPL
Linea 20 Las Pitas- Terminal Terrestre- Zona Militar- La Urna- Campus UTPL
