Linea 01; Parque Infantil(-4.00448777523238, -79.20070156244599); Estadio(-4.001654221391624, -79.19511584501214); La Salle(-3.9987698697620253, -79.19634309808303);Colegio Beatriz Cueva(-3.9967907732504213, -79.19729728398353); La Urna (-3.9901380124671304, -79.20007225551464); Campus UTPL(-3.985392839641047, -79.19843505319226)
Linea 02; Pradera (-4.014340871304447, -79.19885882018376) ; Av. Kigman (-4.013843941337164, -79.20087827094085); Iglesia Verbo(-4.011264947968486, -79.20104258885121);Cabo Minacho (-4.006516745532877, -79.20130100810795);Parque Infantil(-4.00448777523238, -79.20070156244599); La Urna (-3.9901380124671304, -79.20007225551464);  Campus UTPL(-3.985392839641047, -79.19843505319226)
Linea 03; Pradera (-4.014340871304447, -79.19885882018376); Av. Kigman (-4.013843941337164, -79.20087827094085);Iglesia Verbo(-4.011264947968486, -79.20104258885121);Cabo Minacho (-4.006516745532877, -79.20130100810795); Parque Infantil (-4.00448777523238, -79.20070156244599); Estadio(-4.001654221391624, -79.19511584501214); La Salle(-3.9987698697620253, -79.19634309808303);La Colegio Beatriz Cueva(-3.9967907732504213, -79.19729728398353); La Urna (-3.9901380124671304, -79.20007225551464); Campus UTPL(-3.985392839641047, -79.19843505319226)
Linea 07; Ciudad Alegria(-4.032116880466527, -79.20635872767699); Esteban Godoy(-4.02886371407544, -79.20788577873668);Tnte. Geovany(-4.026390442696182, -79.20660191855134); Canchas Calva & Calva(-4.023962373410601, -79.20314843853158); Av. Pio Jaramillo(-4.013886147812566, -79.20413758359128); Tebaida Baja(-4.010745035299398, -79.20452055589271); Puerta de la Ciudad(-3.990364214914744, -79.20472451211725); La Urna (-3.9901380124671304, -79.20007225551464); Campus UTPL(-3.985392839641047, -79.19843505319226)
Linea 08; Ciudad Alegria(-4.032116880466527, -79.20635872767699); Esteban Godoy(-4.02886371407544, -79.20788577873668); Tnte. Geovany(-4.026390442696182, -79.20660191855134);Puerta de la Ciudad(-3.990364214914744, -79.20472451211725); La Urna (-3.9901380124671304, -79.20007225551464); Campus UTPL(-3.985392839641047, -79.19843505319226)
Linea 09; Canchas Calva & Calva(-4.023962373410601, -79.20314843853158); AV. Pio Jaramillo ; Tebaida Baja; Coliseo Ciudad de Loja; Lauro Guerrero; Puerta de la Ciudad; La Urna (-3.9901380124671304, -79.20007225551464);  Campus UTPL(-3.985392839641047, -79.19843505319226);;;
Linea 10; Ciudad Alegria; Esteban Godoy; Cachas Calva & Calva; Av. Pio Jaramillo; Tebaida Baja; Coliseo Ciudad de Loja; Pio y Venezuela; Lauro Guerrero; Puerta de la Ciudad; La Urna (-3.9901380124671304, -79.20007225551464);  Campus UTPL(-3.985392839641047, -79.19843505319226)
Linea 11; Daniel Alvarez ; Benjamin Carrion; Tebaida Baja; Coliseo Ciudad de Loja; Pio Venezuela; Lauro Guerrero; Puerta de Ciudad; La Urna (-3.9901380124671304, -79.20007225551464); Campus UTPL(-3.985392839641047, -79.19843505319226);;
